Ecirc|&#202;|&Ecirc;| capital E, circumflex accent |Ecirc
Euml|&#203;|&Euml;| capital E, dieresis or umlaut mark |Euml
Igrave|&#204;|&Igrave;| capital I, grave accent |Igrave
Iacute|&#205;|&Iacute;| capital I, acute accent |Iacute
Icirc|&#206;|&Icirc;| capital I, circumflex accent |Icirc
Iuml|&#207;|&Iuml;| capital I, dieresis or umlaut mark |Iuml
ETH|&#208;|&ETH;| capital Eth, Icelandic |ETH
Ntilde|&#209;|&Ntilde;| capital N, tilde |Ntilde
Ograve|&#210;|&Ograve;| capital O, grave accent |Ograve
Oacute|&#211;|&Oacute;| capital O, acute accent |Oacute
Ocirc|&#212;|&Ocirc;| capital O, circumflex accent |Ocirc
Otilde|&#213;|&Otilde;| capital O, tilde |Otilde
Ouml|&#214;|&Ouml;| capital O, dieresis or umlaut mark |Ouml
times|&#215;|&times;| multiply sign |times
Oslash|&#216;|&Oslash;| capital O, slash |Oslash
Ugrave|&#217;|&Ugrave;| capital U, grave accent |Ugrave
Uacute|&#218;|&Uacute;| capital U, acute accent |Uacute
Ucirc|&#219;|&Ucirc;| capital U, circumflex accent |Ucirc
Uuml|&#220;|&Uuml;| capital U, dieresis or umlaut mark |Uuml
Yacute|&#221;|&Yacute;| capital Y, acute accent |Yacute
THORN|&#222;|&THORN;| capital THORN, Icelandic |THORN
szlig|&#223;|&szlig;| small sharp s, German (sz ligature) |szlig
agrave|&#224;|&agrave;| small a, grave accent |agrave
aacute|&#225;|&aacute;| small a, acute accent |aacute
acirc|&#226;|&acirc;| small a, circumflex accent |acirc
atilde|&#227;|&atilde;| small a, tilde |atilde
auml|&#228;|&auml;| small a, dieresis or umlaut mark |auml
aring|&#229;|&aring;| small a, ring |aring
aelig|&#230;|&aelig;| small ae diphthong (ligature) |aelig
ccedil|&#231;|&ccedil;| small c, cedilla |ccedil
egrave|&#232;|&egrave;| small e, grave accent |egrave
eacute|&#233;|&eacute;| small e, acute accent |eacute
ecirc|&#234;|&ecirc;| small e, circumflex accent |ecirc
euml|&#235;|&euml;| small e, dieresis or umlaut mark |euml
igrave|&#236;|&igrave;| small i, grave accent |igrave
iacute|&#237;|&iacute;| small i, acute accent |iacute
icirc|&#238;|&icirc;| small i, circumflex accent |icirc
iuml|&#239;|&iuml;| small i, dieresis or umlaut mark |iuml
eth|&#240;|&eth;| small eth, Icelandic |eth
ntilde|&#241;|&ntilde;| small n, tilde |ntilde
ograve|&#242;|&ograve;| small o, grave accent |ograve
oacute|&#243;|&oacute;| small o, acute accent |oacute
