Symbol	ISSN in use	Print ISSN	E-ISSN	Collection Name	Acronym	Short Title	Title	Short Title-NLM	Publisher	URL journal page	License
scl	1517-7076		1517-7076	Brazil	rmat	Matéria (Rio J.)	Matéria (Rio de Janeiro)		Rede Latino-Americana de Materiais	http://www.scielo.br/scielo.php?script=sci_serial&pid=1517-7076&lng=en	by/4.0
scl	2358-0429	2318-8111	2358-0429	Brazil	medical	MedicalExpress (São Paulo, online)	MedicalExpress		Mavera Edições Técnicas e Científicas Ltda	http://www.scielo.br/scielo.php?script=sci_serial&pid=2358-0429&lng=en	by-nc/4.0
scl	1984-2201	1676-8329	1984-2201	Brazil	mercator	Mercator (Fortaleza)	Mercator (Fortaleza)		Universidade Federal do Ceará	http://www.scielo.br/scielo.php?script=sci_serial&pid=1984-2201&lng=en	by/4.0
scl	1980-6574	1415-9805	1980-6574	Brazil	motriz	Motriz: rev. educ. fis.	Motriz: Revista de Educação Física		Universidade Estadual Paulista	http://www.scielo.br/scielo.php?script=sci_serial&pid=1980-6574&lng=en	by/4.0
scl	0104-6497	0104-6497	2358-2936	Brazil	nau	Nauplius	Nauplius		Sociedade Brasileira de Carcinologia	http://www.scielo.br/scielo.php?script=sci_serial&pid=0104-6497&lng=en	by/4.0
scl	1519-566X	1519-566X	1678-8052	Brazil	ne	Neotrop. entomol.	Neotropical Entomology		Sociedade Entomológica do Brasil	http://www.scielo.br/scielo.php?script=sci_serial&pid=1519-566X&lng=en	by-nc/4.0
scl	1679-6225	1679-6225	1982-0224	Brazil	ni	Neotrop. ichthyol.	Neotropical Ichthyology		Sociedade Brasileira de Ictiologia	http://www.scielo.br/scielo.php?script=sci_serial&pid=1679-6225&lng=en	by/4.0
scl	0103-6351	0103-6351	1980-5381	Brazil	neco	Nova econ.	Nova Economia		Nova Economia	http://www.scielo.br/scielo.php?script=sci_serial&pid=0103-6351&lng=en	by/4.0
scl	0101-3300	0101-3300	1980-5403	Brazil	nec	Novos estud. - CEBRAP	Novos Estudos - CEBRAP		Centro Brasileiro de Análise e Planejamento	http://www.scielo.br/scielo.php?script=sci_serial&pid=0101-3300&lng=en	by-nc/4.0
scl	0104-6276	0104-6276	1807-0191	Brazil	op	Opin. Publica	Opinião Pública		 Centro de Estudos de Opiniao Publica da Universidade Estadual de Campinas	http://www.scielo.br/scielo.php?script=sci_serial&pid=0104-6276&lng=en	by/4.0
scl	0103-863X	0103-863X	1982-4327	Brazil	paideia	Paidéia (Ribeirão Preto)	Paidéia (Ribeirão Preto)		Universidade de São Paulo, Faculdade de Filosofia Ciências e Letras de Ribeirão Preto	http://www.scielo.br/scielo.php?script=sci_serial&pid=0103-863X&lng=en	by-nc/4.0
scl	1982-8837	1414-1906	1982-8837	Brazil	pg	Pandaemonium ger.	Pandaemonium Germanicum		Universidade de São Paulo/Faculdade de Filosofia, Letras e Ciências Humanas/; Programa de Pós-Graduação em Língua e Literatura Alemã	http://www.scielo.br/scielo.php?script=sci_serial&pid=1982-8837&lng=en	by-nc/4.0
scl	0031-1049	0031-1049	1807-0205	Brazil	paz	Pap. Avulsos Zool. (São Paulo)	Papéis Avulsos de Zoologia (São Paulo)		Museu de Zoologia da Universidade de São Paulo	http://www.scielo.br/scielo.php?script=sci_serial&pid=0031-1049&lng=en	by/4.0
scl	1517-7599	1517-7599	2317-6377	Brazil	pm	Per musi	Per Musi		Escola de Música da UFMG	http://www.scielo.br/scielo.php?script=sci_serial&pid=1517-7599&lng=en	by/4.0
scl	1413-9936	1413-9936	1981-5344	Brazil	pci	Perspect. ciênc. inf.	Perspectivas em Ciência da Informação		Escola de Ciência da Informação da UFMG	http://www.scielo.br/scielo.php?script=sci_serial&pid=1413-9936&lng=en	by/4.0
scl	1983-4063	1517-6398	1983-4063	Brazil	pat	Pesqui. Agropecu. Trop.	Pesquisa Agropecuária Tropical		Escola de Agronomia e Engenharia de Alimentos/UFG	http://www.scielo.br/scielo.php?script=sci_serial&pid=1983-4063&lng=en	by/4.0
scl	0101-7438	0101-7438	1678-5142	Brazil	pope	Pesqui. Oper.	Pesquisa Operacional		Sociedade Brasileira de Pesquisa Operacional	http://www.scielo.br/scielo.php?script=sci_serial&pid=0101-7438&lng=en	by/4.0
scl	0100-736X	0100-736X	1678-5150	Brazil	pvb	Pesq. Vet. Bras.	Pesquisa Veterinária Brasileira		Colégio Brasileiro de Patologia Animal - CBPA; Empresa Brasileira de Pesquisa Agropecuária (EMBRAPA)	http://www.scielo.br/scielo.php?script=sci_serial&pid=0100-736X&lng=en	by-nc/4.0
scl	0103-7331	0103-7331	1809-4481	Brazil	physis	Physis	Physis: Revista de Saúde Coletiva	Physis	IMS-UERJ	http://www.scielo.br/scielo.php?script=sci_serial&pid=0103-7331&lng=en	by/4.0
scl	0100-8358	0100-8358	1806-9681	Brazil	pd	Planta daninha	Planta Daninha		Sociedade Brasileira da Ciência das Plantas Daninhas	http://www.scielo.br/scielo.php?script=sci_serial&pid=0100-8358&lng=en	by/4.0
scl	0104-1428	0104-1428	1678-5169	Brazil	po	Polímeros	Polímeros		Associação Brasileira de Polímeros	http://www.scielo.br/scielo.php?script=sci_serial&pid=0104-1428&lng=en	by/4.0
